Title,Content,Press,Date
'번창·풍요의 해 밝았다' 토끼띠 광주시민들의 2023년 소망,"[무안=뉴시스] 이영주 기자 = 계묘년 새해 첫날인 1일 오전 전남 무안군 도리포 유원지에서 한 시민이 소원을 빌고 있다. 2023.01.01. leeyj2578@newsis.com[광주=뉴시스] 변재훈 기자 = 2023년 새해 계묘년(癸卯年) '검은 토끼의 해'가 밝았다. 코로나19 일상 회복부터 취업 성공, 민생 안정까지 '토끼띠'인 광주시민들의 새해 소망은 다양했지만 모두 한 마음으로 희망을 꿈꿨다.초등학생 류서윤(13)군은 1일 ""새해에는 코로나19가 물러가 마스크를 벗고 '토끼'처럼 운동장에서 뛰놀고 싶다. 교실에서도 선생님과 친구들 얼굴을 마주 보며 모둠 수업도 하고 싶다""고 말했다.전남대 신문방송학과 학생 김성배(25)씨는 ""취업에 성공했으면 한다. 청년들의 구직과 취업을 실질적으로 돕는 다양한 정책이 확대되길 바란다""고 전했다. 경찰 공무원 한모(37)씨는 ""전화 금융 사기(보이스피싱)범들이 갈수록 조직적·지능적으로 움직여 수사망을 피하고 있고 피해자들의 수와 물질적·정신적 피해는 커지고 있다""며 ""올해에는 보이스피싱 수거책 뿐만 아니라 조직 총책을 일망타진해 서민들의 억울한 피해를 줄이고 싶다""고 밝혔다. 북구보건소 강지영(49) 주무관은 일상 회복을 새해 소망으로 꼽았다.강 주무관은 ""내년에는 코로나19 팬데믹의 긴 터널에서 빠져 나와 시민들이 일상을 완전히 되찾을 수 있길 바란다. 지난 3년간 선별진료소 운영·지원 업무로 많이 지친 보건소 공직자 동료들도 여유를 찾아 본래 업무에 집중할 수 있었으면 좋겠다""고 말했다.그러면서 ""임산부와 예비 산모들이 마음 놓고 출산·육아를 할 수 있도록 '아이 키우기 좋은 환경' 조성에 힘을 보태고 싶다. 맡은 바 업무에 최선을 다하겠다""고 각오를 다졌다.민생이 안정되길 바라는 목소리도 있었다.공인중개사 남현숙(61·여)씨는 ""집값이 폭등했다가 급격히 떨어지면서 부동산 경기가 얼어붙어 시민, 이삿짐센터, 인테리어 업자까지 모두가 힘든 한해를 보냈다""며 ""다주택자 취득세 완화 정책과 대출 이자도 낮아져 올해엔 서민들이 집 걱정을 덜었으면 한다""고 밝혔다.      한편 토끼는 십이지(十二支) 동물 가운데 네 번째다. 계절적으로는 봄에 해당해 만물의 생장과 번창, 풍요를 상징한다. 예로부터 토끼는 '별주부전'에 등장하는 토끼처럼 꾀 많은 동물로 인식된다. 달에 사는 신묘한 동물로도 알려져 있다.",뉴시스,2023-01-01 09:08:29
악성사기부터 마약까지…범죄와의 전쟁은 현재진행형,"[앵커]지난해 경찰은 악성 사기와 마약에 방점을 찍고 집중 단속을 벌이겠다고 밝혔습니다. 서민들을 눈물 흘리게 하고 사회를 병들게 하는 범죄를 근절하겠단 계획인데, 올해도 범죄와의 전쟁은 계속될 걸로 보입니다. 윤솔 기자입니다.[기자]전세 보증금을 돌려주지 않고 숨지거나 잠적한 이른바 '빌라왕'들.신혼부부와 청년 등 피해자들을 눈물 흘리게 한 악성 사기의 단면입니다.지난해 윤희근 경찰청장은 취임 직후 '악성사기' 근절에 방점을 찍었습니다.7월부터 대대적인 전세사기 단속을 실시하면서, 국수본에 전담수사본부를 설치하고 강력 대응해 800명이 넘게 검거되고 78명이 구속됐습니다.경찰은 또 7대 악성 사기에 전화금융사기인 보이스피싱을 포함하고 적극 대응했습니다.보이스피싱 사건은 지난해에만 11월 기준 약 2만 건, 5,100억 원이 넘는 피해액이 발생했습니다.<윤희근 / 경찰청장(지난해 9월)> ""보이스피싱과 같은 사기는 한 가족을 파탄에 이르게 하는 '경제적 살인'이라고 생각합니다. 경찰은 악성 사기를 '경제적 살인'으로 간주하고 반드시 근절할 수 있도록….""또 다른 구호는 '마약과의 전쟁'.돈스파이크 등 유명인뿐 아니라 이른바 '강남 유흥업소 사망사건'에 연루된 마약 유통책 등이 검거되는 등 날로 기승을 부리는 마약사범에 대한 대응입니다.지난해 11월 기준 검거 인원은 1만 1,500명이 넘습니다.전년 대비 14.6%가 는 수치입니다.압수한 물품만 해도 대마 6만 3천 그램, 필로폰 2만 6천 그램, 양귀비는 13만 5천주에 달합니다.<박남규 / 서울경찰청 마약범죄수사대 팀장(지난해 10월)> ""마약 전력이 있는 사람들도 있지만, 그런 전력이 없는 가정주부, 회사원, 전문직 종사자, 학생 등 다양하고…10대 고등학생들도 검거가 되고 있는데 이는 심각한 문제라고 생각합니다.""마약은 특히 하늘길, 바닷길로도 급속 유입되고 있어 집중적인 단속이 필요합니다.연합뉴스TV 윤솔입니다. (solemio@yna.co.kr)#전세사기 #보이스피싱 #마약연합뉴스TV 기사문의 및 제보 : 카톡/라인 jebo23",연합뉴스TV,2023-01-01 10:11:01
‘토끼띠’들의 새해 소망,"[KBS 대전] [앵커] 2023년은 계묘년,  검은 토끼의 해입니다. 예부터 검은 토끼는  만물의 번영과 성장을 상징하는 영물로 여겨져 왔는데요. 새해를 남다르게 맞을 토끼띠들의 새해 소망을 조정아 기자가 들어봤습니다. [리포트] 10여 년 직장 생활을 정리하고 넉 달 전 귀향한 1987년생 임창묵 씨, 농사꾼이 되고 싶었던 어린 시절 꿈을 이루고 처음 맞는 새해로 한껏 기대감에 부풀었습니다. [임창묵/청년 농민/1987년생 토끼띠 : ""한 명의 농업인으로서 성공을 해서 많은 사람들에게 도움도 주고, 그러한 삶을 살아가고 싶습니다.""] 졸업을 앞두고 누구보다 치열한 겨울을 보내고 있는 1999년생 대학생 송 채비 씨. 올해는 채용문이 조금 더 열리지 않을까, 마음을 한 번 더 다잡습니다. [송채비/대학생/1999년생 토끼띠 : ""취업 준비하면서 힘들겠지만, 힘들어도 다시 털고 일어날 수 있는 그런 용기가 생겼으면 좋겠습니다.""] 지난해 유독  전화금융사기 사건으로  출동이 잦았던 1987년생 경찰  이승준 씨는 올해는 토끼의 지혜를 모아  범죄 없는 세상을 만들겠다고 다짐했고, [이승준/경찰관/1987년생 토끼띠 : ""새해에는 보이스 피싱 같은 경우도, 많은 피해가 없었으면 하는 바람이 있습니다.""] 중소기업을 운영하는 1975년생 한묘현 씨는 만물의 번영을 상징하는 검은 토끼의 기운으로 어려운 경제 상황을 이겨내길 바랐습니다. [한묘현/중소기업 대표/1975년생 토끼띠 : ""빨리 코로나 사태가 진정이 돼서 사업을 하시든 직장을 다니시든 조금 더 올해보다는 나아질 수 있는 그런 한 해가 되길 기원합니다.""] 새해에는 마스크를 벗을 수 있을까, 친구들과 놀러 갈 수 있을까  토끼띠 초등학생의  간절한 바람은 올해도 마찬가지입니다. [전지민/초등학생/2011년생 토끼띠 : ""코로나도 조금 줄어드니까 가족들이랑 여행도 많이 다니고 친구들하고도 놀러 다니고 싶어요.""] KBS 뉴스 조정아입니다. 촬영기자:박평안",KBS,2023-01-02 08:22:38
‘토끼띠’들의 새해 소망,"[KBS 대전] [앵커] KBS대전은 새해를 맞아  지역의 현안을 점검하는  기획 보도를 마련했습니다. 오늘은 첫 순서로  2023년 토끼의 해를 맞아  새해를 남다르게 맞고 있는  지역 각계 각층 토끼띠들의 새해 소망을  조정아 기자가 들어봤습니다. [리포트] 10여 년 직장 생활을 정리하고 넉 달 전 귀향한 1987년생 임창묵 씨, 농사꾼이 되고 싶었던 어린 시절 꿈을 이루고 처음 맞는 새해로 한껏 기대감에 부풀었습니다. [임창묵/청년 농민/1987년생 토끼띠 : ""한 명의 농업인으로서 성공을 해서 많은 사람들에게 도움도 주고, 그러한 삶을 살아가고 싶습니다.""] 졸업을 앞두고 누구보다 치열한 겨울을 보내고 있는 1999년생 대학생 송 채비 씨. 올해는 채용문이 조금 더 열리지 않을까, 마음을 한 번 더 다잡습니다. [송채비/대학생/1999년생 토끼띠 : ""취업 준비하면서 힘들겠지만, 힘들어도 다시 털고 일어날 수 있는 그런 용기가 생겼으면 좋겠습니다.""] 지난해 유독  전화금융사기 사건으로  출동이 잦았던 1987년생 경찰  이승준 씨는 올해는 토끼의 지혜를 모아  범죄 없는 세상을 만들겠다고 다짐했고. [이승준/경찰관/1987년생 토끼띠 :  ""새해에는 보이스 피싱 같은 경우도, 많은 피해가 없었으면 하는 바람이 있습니다.""] 중소기업을 운영하는 1975년생 한묘현 씨는 만물의 번영을 상징하는 검은 토끼의 기운으로 어려운 경제 상황을 이겨내길 바랐습니다. [한묘현/중소기업 대표/1975년생 토끼띠 : ""빨리 코로나 사태가 진정이 돼서 사업을 하시든 직장을 다니시든 조금 더 올해보다는 나아질 수 있는 그런 한 해가 되길 기원합니다.""] 새해에는 마스크를 벗을 수 있을까, 친구들과 놀러 갈 수 있을까  토끼띠 초등학생의  간절한 바람은 올해도 마찬가지입니다. [전지민/초등학생/2011년생 토끼띠 : ""코로나도 조금 줄어드니까 가족들이랑 여행도 많이 다니고 친구들하고도 놀러 다니고 싶어요.""] KBS 뉴스 조정아입니다. 촬영기자:박평안",KBS,2023-01-02 19:46:03
‘토끼띠’들의 새해 소망,"[KBS 대전] [앵커] KBS대전은 새해를 맞아  지역의 현안을 점검하는  기획 보도를 마련했습니다. 오늘은 첫 순서로  2023년 토끼의 해를 맞아  새해를 남다르게 맞고 있는  지역 각계 각층 토끼띠들의 새해 소망을  조정아 기자가 들어봤습니다. [리포트] 10여 년 직장 생활을 정리하고 넉 달 전 귀향한 1987년생 임창묵 씨, 농사꾼이 되고 싶었던 어린 시절 꿈을 이루고 처음 맞는 새해로 한껏 기대감에 부풀었습니다. [임창묵/청년 농민/1987년생 토끼띠 : ""한 명의 농업인으로서 성공을 해서 많은 사람들에게 도움도 주고, 그러한 삶을 살아가고 싶습니다.""] 졸업을 앞두고 누구보다 치열한 겨울을 보내고 있는 1999년생 대학생 송 채비 씨. 올해는 채용문이 조금 더 열리지 않을까, 마음을 한 번 더 다잡습니다. [송채비/대학생/1999년생 토끼띠 : ""취업 준비하면서 힘들겠지만, 힘들어도 다시 털고 일어날 수 있는 그런 용기가 생겼으면 좋겠습니다.""] 지난해 유독  전화금융사기 사건으로  출동이 잦았던 1987년생 경찰  이승준 씨는 올해는 토끼의 지혜를 모아  범죄 없는 세상을 만들겠다고 다짐했고. [이승준/경찰관/1987년생 토끼띠 :  ""새해에는 보이스 피싱 같은 경우도, 많은 피해가 없었으면 하는 바람이 있습니다.""] 중소기업을 운영하는 1975년생 한묘현 씨는 만물의 번영을 상징하는 검은 토끼의 기운으로 어려운 경제 상황을 이겨내길 바랐습니다. [한묘현/중소기업 대표/1975년생 토끼띠 : ""빨리 코로나 사태가 진정이 돼서 사업을 하시든 직장을 다니시든 조금 더 올해보다는 나아질 수 있는 그런 한 해가 되길 기원합니다.""] 새해에는 마스크를 벗을 수 있을까, 친구들과 놀러 갈 수 있을까  토끼띠 초등학생의  간절한 바람은 올해도 마찬가지입니다. [전지민/초등학생/2011년생 토끼띠 : ""코로나도 조금 줄어드니까 가족들이랑 여행도 많이 다니고 친구들하고도 놀러 다니고 싶어요.""] KBS 뉴스 조정아입니다. 촬영기자:박평안",KBS,2023-01-02 21:47:09
"김포파주인삼농협 직원, 보이스피싱 피해 예방",경기 김포파주인삼농협(조합장 조재열) 운정중앙지점에 근무하는 임현옥 계장이 보이스피싱(전화금융사기) 피해 예방에 기여한 공로를 인정받아 최근 파주경찰서(서장 이재성)로부터 감사장을 받았다(사진). 임 계장은 지난해 11월말 전화 통화를 하면서 현금 1320만원을 인출하려는 고객 A씨를 만류한 후 경찰청에 신고해 보이스피싱 피해를 예방했다. 임 계장은 “코로나19 이후 보이스피싱 피해가 급증해 각별히 주의하고 있었다”며 “앞으로도 고객의 소중한 자산을 지키기 위해 최선의 노력을 다하겠다”고 말했다.조재열 조합장은 “평소 보이스피싱 예방교육을 숙지한 직원의 노력으로 고객의 예금을 보호할 수 있었다”며 “농협을 믿고 거래하는 고객의 소중한 재산을 지키기 위해 사고예방교육을 강화하겠다”고 말했다. 파주=오영채 기자,농민신문,2023-01-03 10:12:01
"부산경찰청, 컴포즈커피와 보이스피싱 예방 홍보","[부산=뉴시스] 부산경찰청은 보이스피싱(전화금융사기) 범죄 예방을 위해 '컴포즈 커피'와 힘을 모으기로 했다고 3일 밝혔다. (사진=부산경찰청 제공) *재판매 및 DB 금지[부산=뉴시스] 하경민 기자 = 부산경찰청은 보이스피싱(전화금융사기) 범죄 예방을 위해 '컴포즈 커피'와 힘을 모으기로 했다고 3일 밝혔다. 컴포즈 커피는 '현금 전달·이체는 보이스피싱'이라는 보이스피싱 범죄예방 문구를 삽입한 음료 컵홀더 900만 개를 제작, 지난 2일부터 전국 가맹점 1950여 곳에 배포해 홍보하고 있다.커피는 시민들의 일상에서 없어서는 안 될 음료로 자리를 잡고 있어, 이번 예방 홍보를 통해 자연스럽게 보이스피싱 범죄에 대한 경각심을 높이는 효과가 기대된다고 부산경찰은 전했다. 부산경찰청은 3일 보이스피싱 예방 활동에 참여해 준 컴포즈 커피 측에 부산경찰청장 명의의 감사패와 감사장을 전달했다. 컴포즈 커피 관계자는 ""이번 부산경찰청과의 보이스피싱 범죄예방 협업을 통해 지속해서 지역사회 범죄예방을 위해 힘쓰도록 노력하겠다""고 말했다. 부산경찰청 관계자는 ""보이스피싱 범죄예방을 위해 적극적으로 나서 준 컴포즈 커피 관계자분들에게 감사하며, 시민들은 '공공기관, 금융기관에서는 어떠한 경우에도 돈을 요구하지 않는다'는 사실을 명심하고 보이스피싱 범죄에 현혹되지 않기를 당부한다""고 밝혔다.",뉴시스,2023-01-03 16:21:34
"부산경찰청, 지역 커피 업체와 손잡고 보이스피싱 예방 나서","부산경찰이 전화금융사기(보이스피싱 범죄) 피해 예방을 위해 팔을 걷어붙였다. 경찰은 시민들의 일상 속에 자리 잡은 ‘커피’에 주목했다. 커피를 담는 컵 홀더에 보이스피싱 예방 문구를 새겨 보이스피싱에 대한 경각심을 높인다는 계획이다.     부산경찰청은 부산지역 커피업체 ‘컴포즈 커피’와 보이스피싱 예방을 위해 음료 컵홀더에 보이스피싱 범죄예방 문구를 삽입해 홍보에 나선다고 3일 밝혔다.  
   부산경찰청이 보이스피싱 범죄 예방을 위해 부산지역 커피업체 ‘컴포즈 커피’와 공동 제작한 컵 홀더 시안. 부산경찰청 제공    이에 따라 컴포즈 커피는 음료 컵홀더 900만 개에 ‘현금 전달·이체 전화는 무조건 보이스피싱’이라는 문구를 삽입해 전국 1950개의 가맹점을 통해 홍보에 동참한다.     컴포즈 커피 관계자는 “부산경찰청과의 보이스피싱 범죄예방 협업을 통한 지역사회 범죄예방에 지속적으로 동참하겠다”고 말했다.     경찰은 이날 보이스피싱 예방 활동에 적극적으로 동참한 컴포즈 커피에 감사패와 감사장을 전달했다.     부산경찰청 관계자는 “보이스피싱 범죄예방을 위해 적극적으로 동참한 컴포즈 커피에 감사드린다”며 “공공기관이나 금융기관에서는 어떠한 경우에도 돈을 요구하지 않는다는 사실을 명심하고, 보이스피싱 범죄에 현혹되지 말 것”을 당부했다.",세계일보,2023-01-04 01:07:05
“교차로·알바몬 보고 취업했는데”…2030도 보이스피싱 연루,"피해액 3년 새 4500억원↑단순 운반책도 '사기 방조'구인·구직 사이트 사업자 명의 확인 필요
지난달 26일 김모씨는 교차로 신문에 올라온 경리 채용공고를 보고 취업을 했다가 덜컥 보이스피싱 범죄에 연루됐다. 김씨는 공사비 명목으로 불상자로부터 돈을 전달받아 계좌로 보내는 일을 했다. 30대 조모씨는 지난달 29일 취업알선 애플리케이션(앱) 알바몬을 통해 단기 아르바이트를 구했다. 사무 보조 업무를 하면서 돈을 전달했는데 이후 경찰로부터 보이스피싱 전달책이었다며 조사를 받으러 오라는 연락을 받았다.연말, 연초 구직 광고를 통해 취업한 후 보이스피싱 범죄에 가담되는 사례가 꾸준히 발생하고 있다. 보이스피싱은 전화로 신용카드 번호 등의 개인정보를 알아낸 뒤 이를 범죄에 이용하는 전화금융사기 수법이다.피해액 3년 새 4500억원↑…단순 운반책도 '사기 방조'4일 경찰 등에 따르면 최근 2030 세대들이 자신도 모른 채 범죄에 가담되는 경우가 종종 수사 대상에 오르고 있다. 경찰 관계자는 ""구인 광고를 보고 취업을 했다가 자신도 모른 채 보이스피싱에 가담돼 조사받는 경우가 있다""며 ""대다수는 고수익 자체를 이상하게 여기지 않았다""고 말했다. 보이스피싱 피해액은 2017년 2470억원, 2018년 4040억원, 2019년 6398억원, 2020년 7000억원으로 해마다 늘어났다. 3년 새 4500억원이나 증가한 것이다.법조계에서는 ▲인지 여부 ▲피해 정도 ▲사회적·경제적 피해 등을 고려해 처벌을 강화하는 분위기다. 보이스피싱 범죄는 사기죄로 10년 이하의 징역이나 2000만원 이하의 벌금에 처한다. 단순 운반책은 사기 방조죄에 해당해 5년 이하 징역 또는 1000만원 이하의 벌금에 처한다.2020년 패션브랜드 관련 회사에 취업한 외국인 교환학생은 보이스피싱 현금 수거책 역할을 했다는 이유로 징역 10월형을 선고받았다. 이 학생은 물건을 한 번 전달할 때마다 10만원에서 20만원의 수당을 준다는 사회관계망서비스(SNS) 구인 광고에 혹해 수거책 역할을 시작했다. 그는 2020년 6월부터 한 달 동안 4명의 피해자로부터 4780만원 받아 보이스피싱 조직에 전달했다. 법무법인 나란 서지원 변호사는 ""피의자 범죄 인지 여부와 반복적인 업무 수행 등을 많이 고려한다""면서 ""구인 글이 문제가 되는 경우가 있는데, 중개사이트에서 현장을 가봐야만 실제 존재 여부를 알기 때문에 이를 모두 관리하기엔 현실적으로 어려울 것으로 보인다""고 밝혔다.전문가들 ""경각심 가져야…구인·구직 사이트 사업자 명의 확인 필요""전문가들은 평상시 경각심을 갖고 주의할 필요가 있다고 지적했다. 이웅혁 건국대 경찰학과 교수는 ""최근 보이스피싱은 중소기업처럼 조직화하는 성향을 보인다""며 ""취업을 했을 때 합리적인 기준에서 이득이 과하다고 판단되면 그만두겠다는 의사표시를 빨리 해야 한다""고 강조했다. 그러면서 ""보이스피싱 범죄에 대해 경각심을 늘 갖고 있어야 한다""고 덧붙였다.이건수 백석대 경찰학과 교수도 ""구인·구직 사이트의 경우 도덕적 책임 의식을 갖고 회사의 사업자 명의 등을 확인해 광고를 내야 할 것 같다""면서 ""시민들 역시 출처가 불분명한 돈을 전달하거나 발견되면 이를 신고하도록 해야 한다""고 전했다. 이어 ""보이스피싱범이 잘 잡히지 않는다는 분위기 때문에 범죄가 계속 일어나는 것 같다""고 분석했다.한편 국회는 보이스피싱 범죄 처벌 강화 움직임을 보인다. 조경태 국민의힘 의원은 지난해 12월 보이스피싱 범죄 처벌 규정을 3년 이상 10년 이하의 징역 또는 2억원 이하의 벌금으로 상향하는 내용을 담은 '전기통신금융사기 피해 방지 피해금 환급에 관한 특별법' 개정안을 발의했다. 해당 법안은 현재 정무위원회에 회부돼 내달 상임위원회에 상정해 논의할 예정이다.",아시아경제,2023-01-04 07:00:00
"""중앙지검입니다…명의도용 사건으로 구속영장 청구됐네요""","기사내용 요약최근들어 검사·검찰수사관 사칭 보이스피싱 범죄 이어져""성매매 연루됐으니 돈 보내 공범 아니라는 점 입증하라""가짜 형사사법포털(KICS)에서 사건 진행상황 확인시키도대출사기형 피싱과 달리 기관사칭형은 범행시간도 짧아
[서울=뉴시스]전화금융사기 일당들이 만든 가짜 검색 결과 페이지 화면. 이들은 피해자로 하여금 포털 검색창에 'myspo-156.go.k(예시)' 등 가짜 사이트 주소를 입력해 접속하게 유도한다. 이후 사건검색을 통해 인적사항을 입력하면 '구속영장 발부', '사건 수사 중'과 같은 문구가 뜬다.(사진=경찰청 제공) *재판매 및 DB 금지[서울=뉴시스] 위용성 기자 = #. 지난달 20대 A씨는 '이○○ 검사'로부터 ""명의도용 및 성매매 사건으로 구속영장이 청구됐다""는 전화를 받았다. '이 검사'는 혐의를 벗고 싶으면 대출을 받아 지정한 계좌로 입금하라고 요구했다. 돈을 보내서 범죄와 관련 없음을 A씨 스스로 입증해야 한다는 것이다. A씨는 '이 검사'에게 약 6000만원을 보냈다.#. 20대 B씨는 '검찰 수사관'으로부터 ""대포통장이 개설돼 범죄에 이용됐다""는 연락을 받았다. 이 수사관은 ""공범이 아니라는 것을 입증하려면 금융감독원·국세청이 인증하는 지정 계좌에 돈을 입금하라""고 요구했다. B씨 역시 여기에 속아 대출받은 약 8000만원을 송금했다.경찰청 국가수사본부는 검사·검찰수사관 사칭 전화금융사기 사례가 빈번하게 발생하고 있어 주의가 필요하다고 4일 밝혔다.피해자에게 '당신이 범죄에 연루됐다'며 속이고 접근한 뒤, 대출을 받아 금감원에서 지정하는 안전계좌로 돈을 입금해 공범이 아니라는 점을 입증하라는 수법이 대표적이다.또는 006 등 국제 발신 전화번호로 해외결제(구글스토어, 해외직구, 삼성페이 등)가 이뤄졌다는 문자를 미끼로 발송, 피해자가 이를 확인하기 위해 전화를 걸면 수사기관 등을 사칭하며 '명의도용·자금세탁 범죄에 연루됐으니 수사를 받아야 한다'고 협박하는 식이다.범죄자들은 악성 어플리케이션(앱)이나 해킹을 통해 미리 확보한 피해자 이름과 직장 등 개인정보를 언급하며 검사 또는 검찰수사관을 사칭한다. 경찰서 한 번 가보지 않은 대다수 피해자들이 사기임을 의심하면서도 통화에 응할 수밖에 없다는 점을 악용하는 것이다.이들은 특히 카카오톡 등을 통해 실제 현직 검사의 신분증이나 교묘하게 꾸민 구속영장 청구서를 보내면서 고압적인 목소리로 협박을 하기도 한다. 적발된 사례 중에는 가짜 형사사법포털(KICS) 사이트 주소를 알려주고 이름·주민등록번호로 검색하게 해 마치 실제 사건이 진행 중인 것처럼 속이는 경우도 다수 있었다.이 같은 기관사칭형 전화금융사기 수법의 경우, 대출사기형처럼 상담 등 단계를 거치지 않기 때문에 범행 시간도 단 6시간 내외로 매우 짧다는 것도 특징이다. 적어도 하루 이상 걸려 주변에 도움을 청하거나 수사기관과 상담할 시간이 있었던 과거와 달리, 단 몇 시간 만에 범행이 완성되는 사례들이 최근에 늘어나고 있다는 것이다.     여기에 더해 악성 앱 설치를 유도해 피해자가 경찰 등 어느 기관에 전화를 하더라도 범인들이 당겨 받는 이른바 '강수강발(강제수신 강제발신)' 프로그램을 심어두거나, 피해자의 위치 정보나 녹음 기능까지 강제로 구동해 지시를 순순히 따르는지까지 감시하는 사례도 잇따랐다. 경찰은 기관사칭형 등 최근 늘어나는 전화금융사기 수법을 전파하기 위해 공식 유튜브 채널 등을 통해 홍보할 계획이다．",뉴시스,2023-01-04 12:00:00
